Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Thailand,THA,55228410,63066603,69157023,69578602,69960943,70294397,70607037,70898202,71127802,71307763,71475664,71601103
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,758106,878360,1137676,1161555,1184830,1205813,1224562,1243235,1261845,1280438,1299995,1320942
"Population, total",SP.POP.TOTL,Togo,TGO,3875947,5008035,6926635,7106229,7288383,7473229,7661354,7852795,8046679,8243094,8442580,8644829
"Population, total",SP.POP.TOTL,Tonga,TON,98727,102603,107502,107089,106626,106122,105707,105415,105150,104951,105254,106017
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1266518,1332203,1430377,1440729,1450661,1460177,1469330,1478607,1504709,1519955,1518147,1525663
"Population, total",SP.POP.TOTL,Tunisia,TUN,8440023,9893316,11174383,11300284,11428948,11557779,11685667,11811443,11933041,12049314,12161723,12262946
"Population, total",SP.POP.TOTL,Turkiye,TUR,54324142,64113547,75277439,76576117,78112073,79646178,81019394,82089826,82809304,83481684,84135428,84775404
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,3720278,4569132,5458682,5560095,5663152,5766431,5868561,5968383,6065066,6158420,6250438,6341855
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,11709,18744,32081,33594,34985,36538,38246,39844,41487,43080,44276,45114
"Population, total",SP.POP.TOTL,Tuvalu,TUV,9182,9638,10854,10918,10899,10877,10852,10828,10865,10956,11069,11204
"Population, total",SP.POP.TOTL,Uganda,UGA,17586630,24020697,34273295,35273570,36336539,37477356,38748299,40127085,41515395,42949080,44404611,45853778
"Population, total",SP.POP.TOTL,Ukraine,UKR,51891400,49176500,45593342,45489648,45272155,45154036,45004673,44831135,44622518,44386203,44132049,43792855
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,1900151,3275333,8664969,8751847,8835951,8916899,8994263,9068296,9140169,9211657,9287289,9365145
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57247586,58892514,63700215,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67081000,67326569
"Population, total",SP.POP.TOTL,United States,USA,249623000,282162411,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331501080,331893745
"Population, total",SP.POP.TOTL,Uruguay,URY,3117012,3292224,3371133,3381180,3391662,3402818,3413766,3422200,3427042,3428409,3429086,3426260
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,20510000,24650400,29774500,30243200,30757700,31298900,31847900,32388600,32956100,33580350,34232050,34915100
"Population, total",SP.POP.TOTL,Vanuatu,VUT,150882,192074,257313,263534,269927,276438,283218,290239,297298,304404,311685,319137
